id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.5481873286439035e+18,1.5481873286439035e+18,2022-07-16 06:06:37 UTC,2022-07-16,06:06:37,0,1.2258080147263775e+18,ismailzab1,Ismailzab,,تھوڑا سا پیا ر ھوا ھے تھوڑا ھے باقی  Future Ambassador of Arts Pakistan @cokestudio @TwitterMusic @VofBalochistan @ItBalochistan @amazonmusic @TravilingL @PakistanTravel9 @PakistanTravel @GhumophiroPAKI1 @BeautyofPak @PTVHomeOfficial @geomusicPK @PashtoMusic  https://t.co/DSGx9mEAq2,und,"[{'screen_name': 'cokestudio', 'name': 'coke studio', 'id': '41097723'}, {'screen_name': 'twittermusic', 'name': 'twitter music is listening to lizzo', 'id': '373471064'}, {'screen_name': 'vofbalochistan', 'name': 'voice of balochistan', 'id': '825970269370085376'}, {'screen_name': 'itbalochistan', 'name': ""it's all about balochistan"", 'id': '1006810503740559360'}, {'screen_name': 'amazonmusic', 'name': 'amazon music', 'id': '14740219'}, {'screen_name': 'travilingl', 'name': 'love travleling', 'id': '758938436313030656'}, {'screen_name': 'pakistantravel9', 'name': 'pakistan travel society', 'id': '1115893201708244993'}, {'screen_name': 'pakistantravel', 'name': 'pakistan travel', 'id': '37502912'}, {'screen_name': 'ghumophiropaki1', 'name': 'ghumophiro pakistan', 'id': '1518188447047036929'}, {'screen_name': 'beautyofpak', 'name': 'beauty of pakistan', 'id': '1639859954'}, {'screen_name': 'ptvhomeofficial', 'name': 'ptv home', 'id': '1277974405'}, {'screen_name': 'geomusicpk', 'name': 'geo music', 'id': '2340237272'}, {'screen_name': 'pashtomusic', 'name': 'pashto music', 'id': '243352535'}]",[],[],0.0,0.0,0.0,[],[],https://twitter.com/Ismailzab1/status/1548187328643903490,False,,1.0,https://pbs.twimg.com/ext_tw_video_thumb/1548187202063966211/pu/img/OVXiir11dGg2ke1e.jpg,,,,,,,[],,,,
1.54818707579444e+18,1.5478871163606385e+18,2022-07-16 06:05:37 UTC,2022-07-16,06:05:37,0,1.377440541546213e+18,bard_tweets,Bard 📖✍️,,"@Quratulainb You and Farhan rock the coke studio in that song, I always listen that song on loop and always feel better &amp; relaxed.",en,[],[],[],0.0,0.0,0.0,[],[],https://twitter.com/Bard_tweets/status/1548187075794440194,False,,0.0,,,,,,,,"[{'screen_name': 'Quratulainb', 'name': 'Quratulain Balouch', 'id': '71495117'}]",,,,
1.548184816318722e+18,1.548184816318722e+18,2022-07-16 05:56:38 UTC,2022-07-16,05:56:38,0,1.5234549921824847e+18,newfiebey,NewfieBey,,.@cokestudio Pakistan always hits it out of the park.  I hope @cokestudioind can catch up soon!,en,"[{'screen_name': 'cokestudio', 'name': 'coke studio', 'id': '41097723'}, {'screen_name': 'cokestudioind', 'name': 'coke studio india', 'id': '543622226'}]",[],[],0.0,0.0,1.0,[],[],https://twitter.com/NewfieBey/status/1548184816318722054,False,https://twitter.com/AdvTubaSanobar/status/1548179628359303168,0.0,,,,,,,,[],,,,
1.548184248607068e+18,1.5481567785541345e+18,2022-07-16 05:54:23 UTC,2022-07-16,05:54:23,0,721643652.0,insafian132948,NoOne,,@ifizatweet Those I haven't heard but will check. No longer into music asal mein 🎧 this Coke Studio season was good though,en,[],[],[],1.0,0.0,0.0,[],[],https://twitter.com/INSAFIAN132948/status/1548184248607068167,False,,0.0,,,,,,,,"[{'screen_name': 'ifizatweet', 'name': 'Fiza', 'id': '1522350023891206149'}]",,,,
1.548183766728061e+18,1.5478328210786263e+18,2022-07-16 05:52:28 UTC,2022-07-16,05:52:28,0,1575645613.0,exasperatingrad,Tr⬆️ggered Radiologist 🕶(UNRESERVED),,@Doxotaxel @IntoxillectNimo @chand2579 Even Coke Studio's Pasoori wont break the barrier. Nation having terrorism as side business are not to be trusted,en,[],[],[],0.0,0.0,3.0,[],[],https://twitter.com/ExasperatingRad/status/1548183766728060928,False,,0.0,,,,,,,,"[{'screen_name': 'Doxotaxel', 'name': '♋ buster', 'id': '1218781036898705408'}, {'screen_name': 'IntoxillectNimo', 'name': 'Finding Nimo', 'id': '982890408270319616'}, {'screen_name': 'chand2579', 'name': 'Chandresh Narayanan', 'id': '38296850'}]",,,,
1.548183317010256e+18,1.548183317010256e+18,2022-07-16 05:50:41 UTC,2022-07-16,05:50:41,0,47556916.0,tuliprokh,Tulip-Rokh 🌻🏳️‍🌈🫶#StandWithUkraine #FuckSCOTUS,,Beautiful song. Turn the cc on for English lyrics. 🎶💃🕺🎵🎵  Coke Studio | Season 14 | Pasoori | Ali Sethi x Shae Gill  https://t.co/wpCzi5YyUI via @YouTube,en,"[{'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://youtu.be/5Eqb_-j3FDA'],[],1.0,0.0,0.0,[],[],https://twitter.com/Tuliprokh/status/1548183317010255874,False,,0.0,,,,,,,,[],,,,
1.5481815387679785e+18,1.5481496825760604e+18,2022-07-16 05:43:37 UTC,2022-07-16,05:43:37,0,1.481910340338479e+18,nayaabspeaks,Nayaab Hassan,,@mehreen_80 Oops i thought the one from coke studio ☺️,en,[],[],[],1.0,0.0,0.0,[],[],https://twitter.com/Nayaabspeaks/status/1548181538767978496,False,,0.0,,,,,,,,"[{'screen_name': 'mehreen_80', 'name': 'Mehreen', 'id': '1476116552810328067'}]",,,,
1.5481753798016e+18,1.5481753798016e+18,2022-07-16 05:19:08 UTC,2022-07-16,05:19:08,0,1.391672023483568e+18,faizanahmed_20,Faizan Ahmed,,"A musical story that says a lot about the love tales of Soni-Mahiwal from the 18th century, Yes Coke Studio creats magic and different things always,  https://t.co/qO1NzIwGZj",en,[],['https://youtu.be/TrPvQvbp3Cg'],[],0.0,0.0,0.0,[],[],https://twitter.com/faizanahmed_20/status/1548175379801600000,False,,0.0,,,,,,,,[],,,,
1.5481737558513743e+18,1.5481737558513743e+18,2022-07-16 05:12:41 UTC,2022-07-16,05:12:41,0,8.48123987964121e+17,sprysindrella,South Garethbate,,Saturday mornings with #CokeStudio!,en,[],[],[],1.0,0.0,1.0,['cokestudio'],[],https://twitter.com/SprySindrella/status/1548173755851374597,False,,0.0,,,,,,,,[],,,,
1.5481682928245391e+18,1.5481682928245391e+18,2022-07-16 04:50:59 UTC,2022-07-16,04:50:59,0,2716368828.0,upasonab,𝖀𝖕𝖆𝖘𝖔𝖓𝖆 𝕭𝖆𝖓𝖊𝖗𝖏𝖊𝖊 ☀️,,"This is one of the best I heard on Coke Studio Pak. A lost friend from Punjab told me the gist of the story of the song. Reading this thread gave me goosebumps. If you have not heard the song, please do. This is a beautiful one.",en,[],[],[],0.0,0.0,0.0,[],[],https://twitter.com/UpasonaB/status/1548168292824539139,False,https://twitter.com/_myocardium_/status/1547900304712015874,0.0,,,,,,,,[],,,,
